"name","age","position","marketvalue","otherclub","transferfee","season","club","transfertype"
"Gunnar Nielsen","22","Keeper","£175k","Blackburn","Free transfer",2008,"Manchester City","Arrivals"
"Donal McDermott","18","Left Wing","-","Man City U18","-",2008,"Manchester City","Arrivals"
"Ryan McGivern","18","Left-Back","£70k","Morecambe FC","End of loan",2008,"Manchester City","Arrivals"
"Clayton McDonald","20","Centre Back","-","Chesterfield FC","End of loan",2008,"Manchester City","Arrivals"
"Adam Clayton","19","Central Midfield","-","Man City U18","-",2008,"Manchester City","Arrivals"
"Karl Moore","20","Attacking Midfield","-","Millwall","End of loan",2008,"Manchester City","Arrivals"
"Scott Kay","18","Central Midfield","-","Man City U18","-",2008,"Manchester City","Arrivals"
"Clayton McDonald","19","Centre Back","-","Macclesfield","End of loan",2008,"Manchester City","Arrivals"
"David Ball","18","Centre Forward","-","Man City U18","-",2008,"Manchester City","Arrivals"
"Gunnar Nielsen","22","Keeper","£175k","Wrexham","End of loan",2008,"Manchester City","Arrivals"
"Clayton McDonald","19","Centre Back","-","Man City U18","-",2008,"Manchester City","Arrivals"
"Tal Ben Haim","27","Centre Back","£2.80m","Sunderland","End of loan",2008,"Manchester City","Arrivals"
"Paul Marshall","18","Attacking Midfield","-","Man City U18","-",2008,"Manchester City","Arrivals"
"Sam Williamson","21","Defence","-","Wrexham","End of loan",2008,"Manchester City","Arrivals"
"Paul Marshall","19","Attacking Midfield","-","Blackpool","End of loan",2008,"Manchester City","Arrivals"
"John Guidetti","16","Centre Forward","-","Man City U18","-",2008,"Manchester City","Arrivals"
"Donal McDermott","18","Left Wing","-","MK Dons","End of loan",2008,"Manchester City","Arrivals"
"Vladimír Weiss","19","Left Wing","-","Man City U21","-",2008,"Manchester City","Arrivals"
"Ryan McGivern","18","Left-Back","-","Man City U18","-",2008,"Manchester City","Arrivals"
"Paul Marshall","19","Attacking Midfield","-","Port Vale FC","End of loan",2008,"Manchester City","Arrivals"
"James Poole","18","Left Wing","-","Man City U18","-",2008,"Manchester City","Arrivals"
"Richard Martin","21","Keeper","£53k","Burton Albion","End of loan",2008,"Manchester City","Arrivals"
"Bernardo Corradi","32","Centre Forward","£2.10m","Parma","End of loan",2008,"Manchester City","Arrivals"
"Vedran Corluka","22","Centre Back","£8.05m","Spurs","£9.63m",2008,"Manchester City","Departures"
"Rolando Bianchi","25","Centre Forward","£4.55m","Torino","£4.90m",2008,"Manchester City","Departures"
"Andreas Isaksson","26","Keeper","£2.10m","PSV Eindhoven","£1.96m",2008,"Manchester City","Departures"
"Georgios Samaras","23","Left Wing","£2.10m","Celtic","£1.75m",2008,"Manchester City","Departures"
"Matthew Mills","21","Centre Back","£280k","Doncaster Rov.","£315k",2008,"Manchester City","Departures"
"Ashley Grimes","21","Attacking Midfield","£35k","Millwall","£53k",2008,"Manchester City","Departures"
"Paul Marshall","19","Attacking Midfield","-","Blackpool","Loan",2008,"Manchester City","Departures"
"Emile Mpenza","30","Centre Forward","£700k","Plymouth Argyle","Free transfer",2008,"Manchester City","Departures"
"Richard Martin","21","Keeper","£53k","Burton Albion","Loan",2008,"Manchester City","Departures"
"Sam Williamson","21","Defence","-","Wrexham","Loan",2008,"Manchester City","Departures"
"Paul Marshall","19","Attacking Midfield","-","Port Vale FC","Loan",2008,"Manchester City","Departures"
"Donal McDermott","18","Left Wing","-","MK Dons","Loan",2008,"Manchester City","Departures"
"Sam Williamson","21","Defence","-","Wrexham","Free transfer",2008,"Manchester City","Departures"
"Clayton McDonald","19","Centre Back","-","Macclesfield","Loan",2008,"Manchester City","Departures"
"Geovanni","28","Attacking Midfield","£2.45m","Hull City","Free transfer",2008,"Manchester City","Departures"
"Tal Ben Haim","26","Centre Back","£2.80m","Sunderland","Loan",2008,"Manchester City","Departures"
"Paul Dickov","35","Striker","£280k","Leicester City","Free transfer",2008,"Manchester City","Departures"
"Gunnar Nielsen","22","Keeper","£175k","Wrexham","Loan",2008,"Manchester City","Departures"
"Ryan McGivern","18","Left-Back","-","Morecambe FC","Loan",2008,"Manchester City","Departures"
"Bernardo Corradi","32","Centre Forward","£1.05m","Reggio","Free transfer",2008,"Manchester City","Departures"
"Clayton McDonald","20","Centre Back","-","Chesterfield FC","Loan",2008,"Manchester City","Departures"
"Jô","21","Centre Forward","£11.20m","Everton","Loan",2008,"Manchester City","Departures"
"Karl Moore","19","Attacking Midfield","-","Millwall","Loan",2008,"Manchester City","Departures"
"Jihai Sun","30","Centre Back","£1.05m","Sheffield Utd.","Free transfer",2008,"Manchester City","Departures"
"Nery Castillo","24","Right Wing","£4.20m","Shakhtar D.","End of loan",2008,"Manchester City","Departures"
"Savio Nsereko","19","Right Wing","£1.05m","Brescia","£5.95m",2008,"West Ham United","Arrivals"
"Valon Behrami","23","Defensive Midfield","£5.60m","Lazio","£4.41m",2008,"West Ham United","Arrivals"
"David Di Michele","32","Centre Forward","£2.31m","Torino","Loan fee:£490k",2008,"West Ham United","Arrivals"
"Radoslav Kovac","29","Centre Back","£3.29m","Spartak Moscow","Loan fee:£350k",2008,"West Ham United","Arrivals"
"Wálter López","22","Left-Back","£280k","River Plate","Free transfer",2008,"West Ham United","Arrivals"
"Jan Lastuvka","26","Keeper","£840k","Shakhtar D.","Loan",2008,"West Ham United","Arrivals"
"Hérita Ilunga","26","Left-Back","£2.45m","Toulouse","Loan",2008,"West Ham United","Arrivals"
"Péter Kurucz","20","Keeper","-","Újpest FC","Loan",2008,"West Ham United","Arrivals"
"Josh Payne","17","Defensive Midfield","-","West Ham U18","-",2008,"West Ham United","Arrivals"
"Calum Davenport","26","Centre Back","£630k","Sunderland","End of loan",2008,"West Ham United","Arrivals"
"Marek Stech","18","Keeper","-","West Ham U18","-",2008,"West Ham United","Arrivals"
"Jimmy Walker","35","Keeper","£105k","Colchester Utd.","End of loan",2008,"West Ham United","Arrivals"
"Carlos Tévez","25","Secondary Striker","£18.90m","Manchester Utd.","End of loan",2008,"West Ham United","Arrivals"
"Kyel Reid","21","Left Midfield","£350k","Blackpool","End of loan",2008,"West Ham United","Arrivals"
"Terry Dixon","19","Centre Forward","-","Unattached","-",2008,"West Ham United","Arrivals"
"Matt Fry","17","Centre Back","-","West Ham U18","-",2008,"West Ham United","Arrivals"
"Marek Stech","19","Keeper","£70k","Wycombe","End of loan",2008,"West Ham United","Arrivals"
"James Tomkins","19","Centre Back","£560k","Derby","End of loan",2008,"West Ham United","Arrivals"
"Junior Stanislas","18","Left Wing","-","West Ham U18","-",2008,"West Ham United","Arrivals"
"Nigel Quashie","30","Central Midfield","£700k","Wolves","End of loan",2008,"West Ham United","Arrivals"
"Diego Tristán","32","Centre Forward","£1.40m","Unattached","-",2008,"West Ham United","Arrivals"
"Jordan Spence","18","Right-Back","-","West Ham U18","-",2008,"West Ham United","Arrivals"
"Kyel Reid","21","Left Midfield","£350k","Wolves","End of loan",2008,"West Ham United","Arrivals"
"Josh Payne","18","Defensive Midfield","-","Cheltenham Town","End of loan",2008,"West Ham United","Arrivals"
"Lee Bowyer","32","Central Midfield","£1.40m","Birmingham","End of loan",2008,"West Ham United","Arrivals"
"Nigel Quashie","30","Central Midfield","£420k","Birmingham","End of loan",2008,"West Ham United","Arrivals"
"Junior Stanislas","19","Left Wing","-","Southend United","End of loan",2008,"West Ham United","Arrivals"
"Lorcan Fitzgerald","19","Left-Back","-","West Ham U18","-",2008,"West Ham United","Arrivals"
"Jordan Spence","19","Right-Back","£35k","Leyton Orient","End of loan",2008,"West Ham United","Arrivals"
"Jack Jeffrey","19","Midfield","-","Leyton Orient","End of loan",2008,"West Ham United","Arrivals"
"Javier Mascherano","24","Centre Back","£15.75m","Liverpool","£15.75m",2008,"West Ham United","Departures"
"Craig Bellamy","29","Left Wing","£5.25m","Manchester City","£10.85m",2008,"West Ham United","Departures"
"Anton Ferdinand","23","Centre Back","£2.80m","Sunderland","£7.00m",2008,"West Ham United","Departures"
"George McCartney","27","Left-Back","£2.80m","Sunderland","£3.85m",2008,"West Ham United","Departures"
"Bobby Zamora","27","Centre Forward","£2.10m","Fulham FC","£2.87m",2008,"West Ham United","Departures"
"John Paintsil","27","Right-Back","£1.05m","Fulham FC","£2.66m",2008,"West Ham United","Departures"
"Matthew Etherington","27","Left Midfield","£2.80m","Stoke City","£2.10m",2008,"West Ham United","Departures"
"Hayden Mullins","29","Centre Back","£3.15m","Portsmouth FC","£1.61m",2008,"West Ham United","Departures"
"Julien Faubert","25","Right-Back","£4.90m","Real Madrid","Loan fee:£1.05m",2008,"West Ham United","Departures"
"Richard Wright","30","Keeper","£560k","Ipswich","£441k",2008,"West Ham United","Departures"
"Joe Widdowson","19","Left-Back","£35k","Grimsby Town","Free transfer",2008,"West Ham United","Departures"
"Jordan Spence","18","Right-Back","£35k","Leyton Orient","Loan",2008,"West Ham United","Departures"
"Nigel Quashie","30","Central Midfield","£420k","Wolves","Loan",2008,"West Ham United","Departures"
"Jack Jeffrey","19","Midfield","-","Leyton Orient","Loan",2008,"West Ham United","Departures"
"Kyel Reid","21","Left Midfield","£350k","Wolves","Loan",2008,"West Ham United","Departures"
"Tony Stokes","22","Central Midfield","£70k","Újpest FC","Free transfer",2008,"West Ham United","Departures"
"Jimmy Walker","35","Keeper","£105k","Colchester Utd.","Loan",2008,"West Ham United","Departures"
"Lorcan Fitzgerald","19","Left-Back","-","Sporting Fingal","Free transfer",2008,"West Ham United","Departures"
"Kyel Reid","20","Left Midfield","£350k","Blackpool","Loan",2008,"West Ham United","Departures"
"Nolberto Solano","33","Central Midfield","£2.80m","AE Larisa","Free transfer",2008,"West Ham United","Departures"
"Nigel Quashie","30","Central Midfield","£420k","Birmingham","Loan",2008,"West Ham United","Departures"
"Josh Payne","17","Defensive Midfield","-","Cheltenham Town","Loan",2008,"West Ham United","Departures"
"Marek Stech","19","Keeper","£70k","Wycombe","Loan",2008,"West Ham United","Departures"
"Junior Stanislas","19","Left Wing","-","Southend United","Loan",2008,"West Ham United","Departures"
"Lee Bowyer","31","Central Midfield","£2.10m","Birmingham","Loan",2008,"West Ham United","Departures"
"Calum Davenport","26","Centre Back","£490k","Sunderland","Loan",2008,"West Ham United","Departures"
"James Tomkins","19","Centre Back","£560k","Derby","Loan",2008,"West Ham United","Departures"
"Fredrik Ljungberg","31","Attacking Midfield","£3.50m","Unattached","-",2008,"West Ham United","Departures"
"David Bentley","23","Right Midfield","£6.30m","Blackburn","£15.40m",2008,"Tottenham Hotspur","Arrivals"
"Luka Modric","22","Central Midfield","£12.60m","Dinamo Zagreb","£14.70m",2008,"Tottenham Hotspur","Arrivals"
"Roman Pavlyuchenko","26","Centre Forward","£5.60m","Spartak Moscow","£12.18m",2008,"Tottenham Hotspur","Arrivals"
"Robbie Keane","28","Centre Forward","£14.70m","Liverpool","£11.69m",2008,"Tottenham Hotspur","Arrivals"
"Jermain Defoe","26","Centre Forward","£7.70m","Portsmouth FC","£11.48m",2008,"Tottenham Hotspur","Arrivals"
"Wilson Palacios","24","Defensive Midfield","£2.45m","Wigan","£10.50m",2008,"Tottenham Hotspur","Arrivals"
"Vedran Corluka","22","Centre Back","£8.05m","Manchester City","£9.63m",2008,"Tottenham Hotspur","Arrivals"
"Heurelho Gomes","27","Keeper","£5.25m","PSV Eindhoven","£6.30m",2008,"Tottenham Hotspur","Arrivals"
"Giovani dos Santos","19","Secondary Striker","£4.20m","FC Barcelona","£4.20m",2008,"Tottenham Hotspur","Arrivals"
"Pascal Chimbonda","29","Right-Back","£4.55m","Sunderland","£2.24m",2008,"Tottenham Hotspur","Arrivals"
"John Bostock","16","Central Midfield","£210k","Crystal Palace","£1.40m",2008,"Tottenham Hotspur","Arrivals"
"Fraizer Campbell","20","Centre Forward","£1.40m","Manchester Utd.","Loan",2008,"Tottenham Hotspur","Arrivals"
"César Sánchez","36","Keeper","£1.82m","Real Zaragoza","Free transfer",2008,"Tottenham Hotspur","Arrivals"
"Carlo Cudicini","35","Keeper","£1.05m","Chelsea FC","Free transfer",2008,"Tottenham Hotspur","Arrivals"
"Tomás Pekhart","19","Centre Forward","£350k","Tottenham U21","-",2008,"Tottenham Hotspur","Arrivals"
"David Button","20","Keeper","-","Luton Town","End of loan",2008,"Tottenham Hotspur","Arrivals"
"David Hutton","18","Midfield","-","Tottenham U18","-",2008,"Tottenham Hotspur","Arrivals"
"Leigh Mills","20","Centre Back","£175k","Gillingham FC","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Andros Townsend","17","Right Wing","-","Yeovil Town","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Andy Barcham","22","Left Wing","£35k","Gillingham FC","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Tomás Pekhart","19","Centre Forward","£350k","Southampton FC","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Troy Archibald-Henville","20","Centre Back","£350k","Exeter City","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Jamie Butler","16","Keeper","-","Spurs","-",2008,"Tottenham Hotspur","Arrivals"
"Ben Alnwick","21","Keeper","£630k","Carlisle United","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Danny Rose","18","Left-Back","£350k","Watford","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Adam Smith","17","Right-Back","-","Tottenham U18","-",2008,"Tottenham Hotspur","Arrivals"
"Charlie Daniels","21","Left-Back","-","Gillingham FC","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Lee Butcher","20","Keeper","-","St. Albans City","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Cian Hughton","19","Right-Back","-","Tottenham U18","-",2008,"Tottenham Hotspur","Arrivals"
"Lee Butcher","20","Keeper","-","Grays Athletic FC","End of loan",2008,"Tottenham Hotspur","Arrivals"
"David Button","19","Keeper","-","Bournemouth","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Danny Hutchins","18","Right-Back","-","Tottenham U18","-",2008,"Tottenham Hotspur","Arrivals"
"Simon Dawkins","21","Right Wing","£35k","Leyton Orient","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Adel Taarabt","20","Left Wing","£1.40m","QPR","End of loan",2008,"Tottenham Hotspur","Arrivals"
"David Button","19","Keeper","-","Grays Athletic FC","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Dorian Dervite","20","Centre Back","£350k","Southend United","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Andros Townsend","16","Right Wing","-","Tottenham U18","-",2008,"Tottenham Hotspur","Arrivals"
"Troy Archibald-Henville","19","Centre Back","£35k","Norwich","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Chris Gunter","19","Right-Back","£2.45m","Nottm Forest","End of loan",2008,"Tottenham Hotspur","Arrivals"
"Jonathan Obika","17","Centre Forward","-","Tottenham U18","-",2008,"Tottenham Hotspur","Arrivals"
"Dimitar Berbatov","27","Centre Forward","£18.20m","Manchester Utd.","£26.60m",2008,"Tottenham Hotspur","Departures"
"Robbie Keane","27","Centre Forward","£11.55m","Liverpool","£16.80m",2008,"Tottenham Hotspur","Departures"
"Younès Kaboul","22","Centre Back","£4.55m","Portsmouth FC","£4.38m",2008,"Tottenham Hotspur","Departures"
"Steed Malbranque","28","Central Midfield","£6.30m","Sunderland","£3.50m",2008,"Tottenham Hotspur","Departures"
"Paul Robinson","28","Keeper","£3.50m","Blackburn","£3.08m",2008,"Tottenham Hotspur","Departures"
"Pascal Chimbonda","29","Right-Back","£4.55m","Sunderland","£2.24m",2008,"Tottenham Hotspur","Departures"
"Anthony Gardner","26","Centre Back","£630k","Hull City","£2.24m",2008,"Tottenham Hotspur","Departures"
"Teemu Tainio","28","Central Midfield","£2.10m","Sunderland","£2.10m",2008,"Tottenham Hotspur","Departures"
"Young-Pyo Lee","31","Right-Back","£2.80m","Bor. Dortmund","£350k",2008,"Tottenham Hotspur","Departures"
"Tommy Forecast","21","Keeper","-","Southampton FC","£280k",2008,"Tottenham Hotspur","Departures"
"Joe Martin","18","Left-Back","-","Blackpool","£228k",2008,"Tottenham Hotspur","Departures"
"Kevin-Prince Boateng","21","Central Midfield","£2.45m","Bor. Dortmund","Loan fee:£70k",2008,"Tottenham Hotspur","Departures"
"Paul Stalteri","31","Right-Back","£1.05m","Bor. M'gladbach","Free transfer",2008,"Tottenham Hotspur","Departures"
"Jonathan Obika","18","Centre Forward","-","Yeovil Town","Loan",2008,"Tottenham Hotspur","Departures"
"Andy Barcham","22","Left Wing","£35k","Gillingham FC","Free transfer",2008,"Tottenham Hotspur","Departures"
"David Button","19","Keeper","-","Grays Athletic FC","Loan",2008,"Tottenham Hotspur","Departures"
"Giovani dos Santos","19","Secondary Striker","£3.85m","Ipswich","Loan",2008,"Tottenham Hotspur","Departures"
"César Sánchez","37","Keeper","£630k","Valencia CF","Free transfer",2008,"Tottenham Hotspur","Departures"
"Tomás Pekhart","19","Centre Forward","£350k","Southampton FC","Loan",2008,"Tottenham Hotspur","Departures"
"Chris Gunter","19","Right-Back","£2.45m","Nottm Forest","Loan",2008,"Tottenham Hotspur","Departures"
"David Button","19","Keeper","-","Bournemouth","Loan",2008,"Tottenham Hotspur","Departures"
"Lee Butcher","20","Keeper","-","St. Albans City","Loan",2008,"Tottenham Hotspur","Departures"
"Danny Hutchins","19","Right-Back","-","Yeovil Town","Free transfer",2008,"Tottenham Hotspur","Departures"
"Charlie Daniels","22","Left-Back","-","Leyton Orient","Free transfer",2008,"Tottenham Hotspur","Departures"
"David Hutton","19","Midfield","-","Cheltenham Town","Loan",2008,"Tottenham Hotspur","Departures"
"Leigh Mills","20","Centre Back","£175k","Gillingham FC","Loan",2008,"Tottenham Hotspur","Departures"
"Andy Barcham","21","Left Wing","£35k","Gillingham FC","Loan",2008,"Tottenham Hotspur","Departures"
"Danny Rose","18","Left-Back","£350k","Watford","Loan",2008,"Tottenham Hotspur","Departures"
"Troy Archibald-Henville","19","Centre Back","£35k","Norwich","Loan",2008,"Tottenham Hotspur","Departures"
"Dorian Dervite","20","Centre Back","£350k","Southend United","Loan",2008,"Tottenham Hotspur","Departures"
"Radek Cerny","34","Keeper","£1.05m","QPR","Free transfer",2008,"Tottenham Hotspur","Departures"
"Adel Taarabt","19","Left Wing","£1.40m","QPR","Loan",2008,"Tottenham Hotspur","Departures"
"Troy Archibald-Henville","20","Centre Back","£35k","Exeter City","Loan",2008,"Tottenham Hotspur","Departures"
"Lee Butcher","20","Keeper","-","Grays Athletic FC","Loan",2008,"Tottenham Hotspur","Departures"
"Charlie Daniels","21","Left-Back","-","Gillingham FC","Loan",2008,"Tottenham Hotspur","Departures"
"David Button","20","Keeper","-","Luton Town","Loan",2008,"Tottenham Hotspur","Departures"
"Andros Townsend","17","Right Wing","-","Yeovil Town","Loan",2008,"Tottenham Hotspur","Departures"
"Leigh Mills","20","Centre Back","£175k","Unknown","Free transfer",2008,"Tottenham Hotspur","Departures"
"Ben Alnwick","21","Keeper","£630k","Carlisle United","Loan",2008,"Tottenham Hotspur","Departures"
"Tomás Pekhart","19","Centre Forward","£350k","Slavia Prag","Loan",2008,"Tottenham Hotspur","Departures"
"Simon Dawkins","20","Right Wing","£35k","Leyton Orient","Loan",2008,"Tottenham Hotspur","Departures"
"Jamie Butler","16","Keeper","-","Spurs","-",2008,"Tottenham Hotspur","Departures"
"Fabricio Coloccini","26","Centre Back","£7.00m","Dep. La Coruña","£9.10m",2008,"Newcastle United","Arrivals"
"Jonás Gutiérrez","24","Left Midfield","£4.20m","RCD Mallorca","£4.06m",2008,"Newcastle United","Arrivals"
"Xisco","22","Centre Forward","£3.50m","Dep. La Coruña","£3.97m",2008,"Newcastle United","Arrivals"
"Kevin Nolan","26","Attacking Midfield","£4.55m","Bolton","£3.15m",2008,"Newcastle United","Arrivals"
"Danny Guthrie","21","Central Midfield","£1.26m","Liverpool","£3.01m",2008,"Newcastle United","Arrivals"
"Sébastien Bassong","21","Centre Back","£1.12m","FC Metz","£1.26m",2008,"Newcastle United","Arrivals"
"Haris Vuckic","16","Attacking Midfield","£140k","NK Domzale","£70k",2008,"Newcastle United","Arrivals"
"Ryan Taylor","24","Right-Back","£1.05m","Wigan","Spielertausch",2008,"Newcastle United","Arrivals"
"Peter Lövenkrands","28","Centre Forward","£2.10m","FC Schalke 04","Free transfer",2008,"Newcastle United","Arrivals"
"Ignacio González","26","Attacking Midfield","£525k","Valencia CF","Loan",2008,"Newcastle United","Arrivals"
"Samuel Adjei","17","Left Midfield","£315k","Jönköping","?",2008,"Newcastle United","Arrivals"
"Bradden Inman","16","Central Midfield","-","Newcastle U18","-",2008,"Newcastle United","Arrivals"
"Kazenga LuaLua","18","Left Wing","£280k","Doncaster Rov.","End of loan",2008,"Newcastle United","Arrivals"
"Ryan Donaldson","17","Attacking Midfield","-","Newcastle U18","-",2008,"Newcastle United","Arrivals"
"Conor Newton","16","Central Midfield","-","Newcastle U18","-",2008,"Newcastle United","Arrivals"
"Ole Söderberg","17","Keeper","-","Newcastle U18","-",2008,"Newcastle United","Arrivals"
"Jeff Henderson","16","Centre Back","-","Newcastle U18","-",2008,"Newcastle United","Arrivals"
"Mark Doninger","18","Attacking Midfield","-","Newcastle U18","-",2008,"Newcastle United","Arrivals"
"Jonny Godsmark","18","Midfield","-","Newcastle U18","-",2008,"Newcastle United","Arrivals"
"Wesley Ngo Baheng","18","Striker","-","Newcastle U18","-",2008,"Newcastle United","Arrivals"
"Tim Krul","20","Keeper","£630k","Carlisle United","End of loan",2008,"Newcastle United","Arrivals"
"Patrick McLaughlin","17","Central Midfield","-","Newcastle U18","-",2008,"Newcastle United","Arrivals"
"Callum Morris","18","Centre Back","-","Newcastle U18","-",2008,"Newcastle United","Arrivals"
"Fraser Forster","20","Keeper","£280k","Stockport","End of loan",2008,"Newcastle United","Arrivals"
"Phil Airey","17","Centre Forward","-","Newcastle U18","-",2008,"Newcastle United","Arrivals"
"David Rozehnal","27","Centre Back","£2.80m","Lazio","End of loan",2008,"Newcastle United","Arrivals"
"James Milner","22","Central Midfield","£5.95m","Aston Villa","£10.50m",2008,"Newcastle United","Departures"
"Shay Given","32","Keeper","£5.25m","Manchester City","£6.30m",2008,"Newcastle United","Departures"
"Charles N'Zogbia","22","Right Wing","£4.90m","Wigan","£4.48m",2008,"Newcastle United","Departures"
"Emre Belözoglu","27","Central Midfield","£5.25m","Fenerbahce","£3.15m",2008,"Newcastle United","Departures"
"David Rozehnal","27","Centre Back","£2.80m","Lazio","£2.52m",2008,"Newcastle United","Departures"
"Abdoulaye Fayé","30","Centre Back","£2.45m","Stoke City","£2.03m",2008,"Newcastle United","Departures"
"Tim Krul","20","Keeper","£630k","Carlisle United","Loan",2008,"Newcastle United","Departures"
"James Troisi","20","Attacking Midfield","£140k","Genclerbirligi","Free transfer",2008,"Newcastle United","Departures"
"Kazenga LuaLua","18","Left Wing","£280k","Doncaster Rov.","Loan",2008,"Newcastle United","Departures"
"Fabio Zamblera","18","Centre Forward","-","Sampdoria","Loan",2008,"Newcastle United","Departures"
"Fraser Forster","20","Keeper","£280k","Stockport","Loan",2008,"Newcastle United","Departures"
"Peter Ramage","24","Centre Back","£700k","QPR","Free transfer",2008,"Newcastle United","Departures"
"Mark Cook","19","Keeper","-","Hartlepool Utd.","Free transfer",2008,"Newcastle United","Departures"
"Stephen Carr","31","Right-Back","£1.75m","career break","-",2008,"Newcastle United","Departures"
"Lamine Diatta","32","Centre Back","£700k","Unattached","-",2008,"Newcastle United","Departures"
"Didier Digard","21","Defensive Midfield","£2.10m","Paris SG","£3.50m",2008,"Middlesbrough FC","Arrivals"
"Marvin Emnes","20","Centre Forward","£700k","Sparta R.","£2.80m",2008,"Middlesbrough FC","Arrivals"
"Justin Hoyte","23","Right-Back","£1.05m","Arsenal FC","£2.66m",2008,"Middlesbrough FC","Arrivals"
"Marlon King","28","Centre Forward","£2.10m","Wigan","Loan",2008,"Middlesbrough FC","Arrivals"
"Seb Hines","20","Centre Back","£140k","Derby","End of loan",2008,"Middlesbrough FC","Arrivals"
"Jonathan Grounds","20","Left-Back","£280k","Norwich","End of loan",2008,"Middlesbrough FC","Arrivals"
"Graeme Owens","21","Right Wing","£70k","Blackpool","End of loan",2008,"Middlesbrough FC","Arrivals"
"Jonathan Franks","18","Right Wing","-","FC Middlesbrough U18","-",2008,"Middlesbrough FC","Arrivals"
"Seb Hines","20","Centre Back","£140k","Oldham Athletic","End of loan",2008,"Middlesbrough FC","Arrivals"
"Nathan Porritt","18","Midfield","-","FC Middlesbrough U18","-",2008,"Middlesbrough FC","Arrivals"
"John Johnson","20","Right-Back","£35k","Tranmere Rovers","End of loan",2008,"Middlesbrough FC","Arrivals"
"Jason Steele","17","Keeper","-","FC Middlesbrough U18","-",2008,"Middlesbrough FC","Arrivals"
"Tony McMahon","22","Right-Back","£175k","Sheff Wed","End of loan",2008,"Middlesbrough FC","Arrivals"
"Mido","26","Centre Forward","£2.94m","Wigan","End of loan",2008,"Middlesbrough FC","Arrivals"
"Rhys Williams","20","Centre Back","£175k","Burnley FC","End of loan",2008,"Middlesbrough FC","Arrivals"
"Joe Bennett","18","Left-Back","-","FC Middlesbrough U18","-",2008,"Middlesbrough FC","Arrivals"
"Jonathan Grounds","21","Left-Back","£280k","Norwich","End of loan",2008,"Middlesbrough FC","Arrivals"
"Lee Cattermole","20","Defensive Midfield","£1.40m","Wigan","£3.08m",2008,"Middlesbrough FC","Departures"
"Luke Young","29","Right-Back","£3.50m","Aston Villa","£2.10m",2008,"Middlesbrough FC","Departures"
"George Boateng","32","Defensive Midfield","£3.68m","Hull City","£840k",2008,"Middlesbrough FC","Departures"
"Tom Craddock","21","Centre Forward","£210k","Luton Town","£84k",2008,"Middlesbrough FC","Departures"
"Jonathan Grounds","20","Left-Back","£280k","Norwich","Loan",2008,"Middlesbrough FC","Departures"
"John Johnson","20","Right-Back","£35k","Tranmere Rovers","Loan",2008,"Middlesbrough FC","Departures"
"Fábio Rochemback","26","Central Midfield","£3.50m","Sporting","Free transfer",2008,"Middlesbrough FC","Departures"
"Jonathan Grounds","20","Left-Back","£280k","Norwich","Loan",2008,"Middlesbrough FC","Departures"
"Rhys Williams","20","Centre Back","£35k","Burnley FC","Loan",2008,"Middlesbrough FC","Departures"
"Graeme Owens","20","Right Wing","£70k","Blackpool","Loan",2008,"Middlesbrough FC","Departures"
"Seb Hines","20","Centre Back","£140k","Derby","Loan",2008,"Middlesbrough FC","Departures"
"Dong-Gook Lee","29","Centre Forward","£1.05m","Seongnam","Free transfer",2008,"Middlesbrough FC","Departures"
"Tony McMahon","22","Right-Back","£175k","Sheff Wed","Loan",2008,"Middlesbrough FC","Departures"
"Seb Hines","20","Centre Back","£140k","Oldham Athletic","Loan",2008,"Middlesbrough FC","Departures"
"Mido","25","Centre Forward","£2.80m","Wigan","Loan",2008,"Middlesbrough FC","Departures"
"Mark Schwarzer","35","Keeper","£2.63m","Fulham FC","Free transfer",2008,"Middlesbrough FC","Departures"
"Marlon King","29","Centre Forward","£2.66m","Wigan","End of loan",2008,"Middlesbrough FC","Departures"
"Gaizka Mendieta","34","Right Midfield","£280k","End of career","-",2008,"Middlesbrough FC","Departures"
"Charles N'Zogbia","22","Right Wing","£4.90m","Newcastle","£4.48m",2008,"Wigan Athletic","Arrivals"
"Hugo Rodallega","23","Centre Forward","£2.80m","Necaxa","£3.36m",2008,"Wigan Athletic","Arrivals"
"Lee Cattermole","20","Defensive Midfield","£1.40m","Middlesbrough","£3.08m",2008,"Wigan Athletic","Arrivals"
"Olivier Kapo","27","Attacking Midfield","£2.45m","Birmingham","£3.08m",2008,"Wigan Athletic","Arrivals"
"Ben Watson","23","Central Midfield","£490k","Crystal Palace","£1.47m",2008,"Wigan Athletic","Arrivals"
"Amr Zaki","25","Centre Forward","£1.61m","Zamalek","Loan fee:£1.40m",2008,"Wigan Athletic","Arrivals"
