"id","fullName","club","season","APPEARANCES","ASSISTS","AVERAGE_GOALS_PER_MATCH","AVERAGE_POINTS_PER_MATCH","CLEAN_SHEETS","DRAW_RATIO","FOULED","FOULS","LOSS_RATIO","OLDEST","RED_CARDS","SHORTEST","SUBSTITUTIONS_OFF","SUBSTITUTIONS_ON","TALLEST","TOP_SCORERS","WEIGHT","WIN_RATIO","YELLOW_CARDS","YOUNGEST"
"41727","Ryan Bennett","Norwich","2013-2014",16,0,0.06,0.94,5,18.75,6,9,56.25,25,0,1.88,0,2,1.88,1,70,25,6,25
"41792","Aaron Ramsey","Arsenal","2013-2014",23,8,0.43,2.22,7,13.04,25,27,17.39,25,0,1.77,6,3,1.77,10,70,69.57,3,25
"41823","Fabian Delph","Man City","2013-2014",34,2,0.09,1,7,20.59,61,31,52.94,26,0,1.74,0,1,1.74,3,60,26.47,7,26
"42427","Kieran Gibbs","Arsenal","2013-2014",28,1,0,1.96,8,25,11,18,17.86,26,1,1.78,3,4,1.78,0,70,57.14,2,26
"42518","Alexander Kacaniklic","Fulham","2013-2014",23,0,0.04,0.61,1,8.7,24,9,73.91,24,0,1.8,10,8,1.8,1,66,17.39,0,24
"42544","Edin Dzeko","Man City","2013-2014",31,1,0.52,2.26,4,12.9,26,28,16.13,29,0,1.93,13,8,1.93,16,84,70.97,4,29
"42593","Aleksandar Kolarov","Man City","2013-2014",30,7,0.03,2.33,8,13.33,36,13,13.33,30,0,1.87,1,9,1.87,1,83,73.33,2,30
"42727","Yoan Gouffran","Newcastle","2013-2014",35,3,0.17,1.37,2,8.57,18,35,48.57,29,0,1.76,17,4,1.76,6,76,42.86,3,29
"42744","Sebastien Bassong","Norwich","2013-2014",27,0,0,0.93,10,25.93,10,12,51.85,29,0,1.87,1,0,1.87,0,73,22.22,1,29
"42758","Papiss Demba Cissé","Newcastle","2013-2014",24,2,0.08,1.33,2,8.33,10,12,50,30,0,1.83,6,9,1.83,2,73,41.67,0,30
"42774","Morgan Schneiderlin","Man Utd","2013-2014",33,1,0.06,1.58,13,30.3,31,51,27.27,26,0,1.81,3,2,1.81,2,75,42.42,8,26
"42786","Eden Hazard","Chelsea","2013-2014",35,7,0.4,2.17,6,20,89,17,14.29,24,0,1.73,11,3,1.73,14,74,65.71,2,24
"42892","Álvaro Negredo","Man City","2013-2014",32,3,0.28,2.22,4,15.63,16,21,15.63,30,0,1.86,13,11,1.86,9,86,68.75,1,30
"42954","Modibo Maiga","West Ham","2013-2014",14,2,0.07,0.71,3,28.57,5,12,57.14,28,0,1.85,5,3,1.85,1,76,14.29,0,28
"42996","Angel Rangel","Swansea","2013-2014",30,1,0,1.17,7,26.67,23,41,43.33,33,0,1.88,1,1,1.88,0,84,30,8,33
"43020","Javier Hernández","Man Utd","2013-2014",24,2,0.17,1.42,1,16.67,14,6,41.67,27,0,1.75,3,18,1.75,4,71,41.67,2,27
"43035","Antolin Alcaraz","Everton","2013-2014",6,0,0,1.17,0,16.67,3,3,50,33,0,1.84,0,1,1.84,0,80,33.33,0,33
"43191","Lucas Leiva","Liverpool","2013-2014",27,0,0,2.04,5,14.81,14,46,22.22,28,0,1.79,5,7,1.79,0,74,62.96,6,28
"43250","Tom Cleverley","Everton","2013-2014",22,0,0.05,1.68,4,18.18,30,16,31.82,26,0,1.75,6,4,1.75,1,67,50,3,26
"43252","James Chester","West Brom","2013-2014",24,0,0.04,0.96,5,20.83,10,14,54.17,26,0,1.8,3,2,1.8,1,70,25,0,26
"43570","Cabral","Sunderland","2013-2014",1,0,0,0,0,0,1,5,100,27,0,1.78,0,0,1.78,0,75,0,0,27
"43670","Juan Mata","Man Utd","2013-2014",28,6,0.21,1.79,3,17.86,41,14,28.57,27,0,1.7,15,3,1.7,6,63,53.57,0,27
"44302","Adlène Guédioura","Watford","2013-2014",8,0,0,0.5,0,12.5,4,10,75,30,0,1.83,3,4,1.83,0,74,12.5,0,30
"44346","Olivier Giroud","Arsenal","2013-2014",36,8,0.44,2.03,10,19.44,58,48,19.44,29,0,1.92,16,0,1.92,16,88,61.11,4,29
"44354","Aly Cissokho","Aston Villa","2013-2014",15,1,0,2.2,2,20,9,10,13.33,28,0,1.81,2,3,1.81,0,75,66.67,2,28
"44488","Mapou Yanga-Mbiwa","Newcastle","2013-2014",23,0,0,1.26,5,8.7,11,19,52.17,26,1,1.84,4,6,1.84,0,77,39.13,5,26
"44683","Jay Rodriguez","Southampton","2013-2014",33,3,0.45,1.45,4,27.27,32,29,33.33,26,0,1.85,12,3,1.85,15,80,39.39,2,26
"45268","Moussa Sissoko","Newcastle","2013-2014",35,6,0.09,1.4,9,11.43,32,44,45.71,26,0,1.87,6,0,1.87,3,83,42.86,8,26
"46967","Kagisho Dikgacoi","Crystal Palace","2013-2014",26,0,0,1.27,6,23.08,13,17,42.31,31,1,1.8,8,1,1.8,0,76,34.62,3,31
